rest_name,rest_addr,city,phone,cuisine_type
asian,asian,asian,asian,asian
american,american,american,american,american
american,american,american,american,american
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
american,american,american,american,american
asian,asian,asian,asian,asian
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
asian,asian,asian,asian,asian
american,american,american,american,american
american,american,american,american,american
italian,italian,italian,italian,italian
american,american,american,american,american
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
american,american,american,american,american
italian,italian,italian,italian,italian
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
american,american,american,american,american
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
american,american,american,american,american
american,american,american,american,american
italian,italian,italian,italian,italian
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
american,american,american,american,american
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
american,american,american,american,american
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
asian,asian,asian,asian,asian
american,american,american,american,american
asian,asian,asian,asian,asian
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
asian,asian,asian,asian,asian
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
american,american,american,american,american
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
american,american,american,american,american
american,american,american,american,american
american,american,american,american,american
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
american,american,american,american,american
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
italian,italian,italian,italian,italian
italian,italian,italian,italian,italian
american,american,american,american,american
asian,asian,asian,asian,asian
asian,asian,asian,asian,asian
